date,message
2024-10-28T16:40:34,"Привет ищем 3х девушек для подселения
3х комнатная
1 место свободно,можно заезжать хоть сейчкс
2 места освободятся с середины ноября
60к, ком услуги входят
напиши +
или в лс @chatte_k
пришлю фото"
2024-10-27T17:30:22,"Ищем третью девочку на подселение, чистоплотную, без вредных привычек. Двухкомнатная квартира, 60тыс + ком услуги, Жк Сенім, 5 минут от МНЮ, есть все удобства. Мы сами не конфликтные и дружелюбные. 

Подселение начиная с начало ноября. Напишите «+» или по телеграмм 

НЕ АКТУАЛЬНО ❌"
2024-10-27T17:30:08,"❗️СРОЧНО❗️
Ищем одну девочку на заселение на долгий срок. ЖК   sat city.
Будем жить втроем, квартира с новым ремонтом, со всем необходимым, у каждого своя кровать.
Оплата 60к+ком услуги(интернет)
Будем жить втроём, ищем жизнерадостную, энергичную и без вредных привычек, платежоспособную девочку 

заселение с НОЯБРЯ
оставьте ниже +, напишу Вам сама 🫶🏻"
2024-10-27T17:29:54,"❗️СРОЧНО❗️
Ищем девочку на подселение в ЖК Sat city.
Будем жить втроем, квартира с новым ремонтом.
Оплата 60к+ком услуги(интернет) 

Заселиться можно хоть завтра 
оставьте ниже +, напишу вам 🫶🏻"
2024-10-25T17:00:55,"Срочно ищем соседку
Жк Satcity 
Ищем одну девочку на заселение.
Будем жить вчетвером. Есть все необходимое.
Оплата 65к+ком услуги(интернет).
Дружные, почти все занятые.
Заехать можно уже сегодня"
2024-10-25T12:58:36,Ищем третью соседку для проживания. Оплата 53к+ком услуги . Фото квартиры скину в лс пишите “+” . Жк Мадрид
2024-10-25T12:58:18,"🏠Ищем третью девушку на подселение, 1 комнатная квартира в жк Sport City, Туран 42, оплата в 77к+комм
Просторная квартира со свежим ремонтом, хозяины делали для себя. 
Ищем порядочную девушку, без вредных привычек, не курит, не пьет, не парит, чистоплотную
Оставляйте + в комментариях, свяжусь сама
По всем вопросам 87782130249
+7 777 545 7264"
2024-10-24T21:31:15,"❗️СРОЧНО❗️
Ищем одну девочку на заселение на долгий срок. ЖК СЕНІМ.
Двухкомнатная квартира. Будем жить втроем
Будешь жить одна в одной комнате 
Оплата 60к+ком услуга где то 3к
Будем жить втроём, ищем жизнерадостную, энергичную и без вредных привычек, платежоспособную девочку
Нас 2 мы оба студентки 2 курса"
2024-10-23T23:05:37,"Срочноооо‼️‼️‼️‼️
Всем привет ! Срочно ищу 4 девушку на подселение . 
Двушка 70кв2, рядои с казгюу ,15минут ходьбы . 
Заселение сегодня или завтра хоть . 
Ремон евро , интернет есть . 
Дома так же есть кошка . 
Напишите + , откликнусь"
2024-10-23T14:05:44,"Срочно ищем соседку
Жк Satcity 
Ищем одну девочку на заселение.
Будем жить вчетвером. Есть все необходимое.
Оплата 65к+ком услуги(интернет).
Дружные, почти все занятые."
2024-10-23T12:37:56,"Сдам 1 комн  квартиру в Жк College (район КазГюу) на длительный срок. Квартира мебилирована, бытовая техника, посуда, все имеется. Чистая, уютная, с хорошей аурой. Ранее кв  не сдавалась. 200 тыс+комуслуги. Звонить по номеру: 87751449195"
2024-10-22T22:06:35,"❗️СРОЧНО❗️
Ищем одну девочку на заселение на долгий срок. ЖК   sat city.
Будем жить втроем, квартира с новым ремонтом, со всем необходимым, у каждого своя кровать.
Оплата 60к+ком услуги(интернет)
Будем жить втроём, ищем жизнерадостную, энергичную и без вредных привычек, платежоспособную девочку 

заселение с НОЯБРЯ
оставьте ниже +, напишу Вам сама 🫶🏻"
